Partei_kurz:;"Ruppaner"
Partei_lang:;"Otto Ruppaner"
Partei_Beschreibung:;"Otto Ruppaner"
Partei_URL:;"https://otto-ruppaner.de/"
Partei_Bild:;"data/egal2.jpg"
-1;"Gelb ist keine schöne Farbe. Rot ist viel besser!"
1;"Runde Früchte sind am besten!"
1;"Volle Zustimmung!"
0;"Ist uns ziemlich egal."
1;"Ja, Früchte sollen am Baum bleiben, bis sie reif sind."
1;"Ja, süße Früchte sind toll."
#
Partei_kurz:;"Grieb"
Partei_lang:;"Raiko Grieb"
Partei_Beschreibung:;"Raiko Grieb"
Partei_URL:;"https://www.raiko-grieb.de/"
Partei_Bild:;"data/egal2.jpg"
1;"Gelb ist die beste Farbe!"
-1;"Früchte müssen lang sein,"
-1;"Wer will denn ernsthaft "
-1;"Spinat ist eklig.   Lore"
-1;"Früchte können schon "
1;"Süße Früchte sind lecker."

